Recognised Vehicle Name,Brand,Model,Year,Category,Engine,Transmission,Mileage km per full tank,Hybrid,Fuel Type,Oil Consumption Km per L,Boot Space L,Airbags,Seating Capacity,Fuel Tank Capacity L,Common Errors,Similar Vehicles,Market Price LKR
Nissan Leaf 2023,Nissan,Leaf,2023,Pickup,2.4L I4,Automatic,471,No,Petrol,16.9,289,10,6,40,AC compressor failure; Turbocharger lag; Brake pad wear prematurely; Timing chain stretch; Airbag sensor warning,BMW X3; Land Rover Range Rover Sport; Audi A6,7437240.00
Jeep Renegade 2008,Jeep,Renegade,2008,Convertible,1.0L I3,Automatic,574,No,Petrol,15.6,304,2,6,45,Battery degradation; Airbag sensor warning; Fuel injector clogging; Oil leak from valve cover; Window regulator failure,Nissan Pathfinder; Mazda 3; Honda HR-V,1315440.00
Mitsubishi Pajero 2020,Mitsubishi,Pajero,2020,Pickup,3.5L V6,8-Speed Automatic,760,Yes,Petrol,15.7,281,4,2,70,Fuel injector clogging; Window regulator failure; Battery degradation; Suspension noise; Coolant leak,BMW X7; Volkswagen Arteon; Honda Accord,4320720.00
Subaru BRZ 2014,Subaru,BRZ,2014,SUV,1.6L I4,CVT,526,No,Petrol,15.5,638,10,6,65,Timing chain stretch; Starter motor issues; Head gasket issue; Power steering leak; Turbocharger lag,Ford Escape; Nissan Rogue; Chevrolet Corvette,3240720.00
Mercedes-Benz A-Class 2021,Mercedes-Benz,A-Class,2021,Hatchback,5.0L V8,8-Speed Automatic,597,No,Electric,13.3,766,2,8,45,Coolant leak; Fuel injector clogging; Infotainment touchscreen lag; Alternator failure; Transmission jerking,Mercedes-Benz C-Class; Volvo XC60; Toyota Corolla,11132280.00
Volkswagen Touareg 2024,Volkswagen,Touareg,2024,Hatchback,1.8L I4,8-Speed Automatic,845,No,Diesel,13.1,403,4,5,50,Coolant leak; Head gasket issue; AC compressor failure; Infotainment touchscreen lag; Power steering leak,Nissan Rogue; Subaru Legacy; Kia Sportage,5457240.00
Audi A3 2007,Audi,A3,2007,Crossover,1.4L I4,Manual,817,Yes,Diesel,15.7,331,8,7,50,Fuel injector clogging; Head gasket issue; DPF clogging (diesel); Brake pad wear prematurely; Exhaust manifold crack,Kia Sorento; Jeep Grand Cherokee; Mazda 3,2251440.00
Jeep Renegade 2014,Jeep,Renegade,2014,Pickup,1.5L I4,Automatic,432,No,Petrol,10.3,425,2,2,40,Timing chain stretch; Turbocharger lag; Oil leak from valve cover; Infotainment touchscreen lag; Exhaust manifold crack,Audi Q5; Hyundai Sonata; Mitsubishi Mirage,2000520.00
BMW 7 Series 2023,BMW,7 Series,2023,Crossover,Electric Dual Motor,Automatic,508,No,Electric,,641,6,6,,DPF clogging (diesel); Window regulator failure; Oil leak from valve cover; Alternator failure; Coolant leak,Tesla Model X; Nissan Maxima; Volkswagen Polo,15097680.00
BMW X1 2017,BMW,X1,2017,Convertible,Electric Motor (single),Automatic,442,No,Electric,,653,10,2,,Oil leak from valve cover; Coolant leak; AC compressor failure; Turbocharger lag; Timing chain stretch,Jeep Compass; Mitsubishi Mirage; Mitsubishi ASX,5288040.00
BMW X7 2001,BMW,X7,2001,Sedan,1.8L I4,Dual-Clutch (DCT),599,No,Diesel,12.6,633,10,8,75,Starter motor issues; Brake pad wear prematurely; Transmission jerking; Exhaust manifold crack; Oil leak from valve cover,Ford EcoSport; Kia Seltos; Ford Focus,1315440.00
Ford Edge 2016,Ford,Edge,2016,Sports,1.8L I4,Manual,441,No,Petrol,8.7,440,8,2,90,Timing chain stretch; Exhaust manifold crack; Oil leak from valve cover; Turbocharger lag; DPF clogging (diesel),Jaguar XJ; Kia Seltos; Volkswagen Touareg,3303000.00
BMW X5 2007,BMW,X5,2007,SUV,2.4L I4,Dual-Clutch (DCT),743,No,Petrol,17.3,274,2,6,90,Exhaust manifold crack; Alternator failure; Turbocharger lag; Brake pad wear prematurely; Fuel injector clogging,Subaru WRX; Honda Civic; Volkswagen Golf,669960.00
Jaguar XF 2022,Jaguar,XF,2022,MPV,3.0L V6,Automatic,658,No,Diesel,16.5,294,8,5,40,AC compressor failure; Infotainment touchscreen lag; Starter motor issues; Fuel injector clogging; Suspension noise,Volvo S60; Land Rover Velar; Toyota RAV4,11414520.00
Nissan Altima 2022,Nissan,Altima,2022,Sedan,1.6L I4,8-Speed Automatic,827,No,Petrol,12.3,242,6,5,40,Battery degradation; Brake pad wear prematurely; Timing chain stretch; Alternator failure; Airbag sensor warning,Jeep Compass; Mercedes-Benz C-Class; Audi Q7,7107480.00
Mercedes-Benz A-Class 2025,Mercedes-Benz,A-Class,2025,Sedan,1.8L I4,Dual-Clutch (DCT),491,No,Petrol,17.3,454,6,4,45,Hybrid battery cell imbalance; Oil leak from valve cover; Power steering leak; Timing chain stretch; Brake pad wear prematurely,Volvo XC90; Subaru WRX; Kia Sportage,17888040.00
Audi A8 2000,Audi,A8,2000,Coupe,2.0L I4,Dual-Clutch (DCT),542,No,Electric,10.8,721,8,8,80,Infotainment touchscreen lag; AC compressor failure; Alternator failure; Fuel injector clogging; Suspension noise,Volkswagen Arteon; Ford F-150; Nissan Maxima,1340280.00
Jaguar F-Pace 2011,Jaguar,F-Pace,2011,Sports,3.0L V6,Dual-Clutch (DCT),459,No,Petrol,10.5,646,2,7,80,Brake pad wear prematurely; Battery degradation; DPF clogging (diesel); Turbocharger lag; Infotainment touchscreen lag,Kia Sorento; Nissan Pathfinder; Hyundai Ioniq,2782080.00
Volvo V60 2021,Volvo,V60,2021,Convertible,5.0L V8,CVT,756,No,Petrol,12.2,588,4,7,90,Transmission jerking; Hybrid battery cell imbalance; Coolant leak; AC compressor failure; Airbag sensor warning,BMW X7; Land Rover Discovery; Kia Stinger,8582400.00
Jeep Compass 2014,Jeep,Compass,2014,Crossover,2.0L I4,8-Speed Automatic,806,No,Diesel,9.7,286,6,7,90,Infotainment touchscreen lag; Turbocharger lag; Timing chain stretch; Transmission jerking; Coolant leak,BMW X1; Chevrolet Traverse; Toyota Yaris,2863080.00
Ford Escape 2015,Ford,Escape,2015,Convertible,1.4L I4,Dual-Clutch (DCT),853,No,Petrol,15,706,8,4,50,AC compressor failure; Alternator failure; DPF clogging (diesel); Timing chain stretch; Suspension noise,Jaguar XF; Volvo C40; Ford Ranger,3422880.00
Mitsubishi Outlander 2003,Mitsubishi,Outlander,2003,Crossover,Electric Motor (single),Automatic,571,No,Diesel,,524,8,7,,Head gasket issue; DPF clogging (diesel); Coolant leak; Window regulator failure; Suspension noise,Mitsubishi Pajero; Volvo V60; Volkswagen Tiguan,1725120.00
Audi Q3 2024,Audi,Q3,2024,Pickup,Electric Dual Motor,6-Speed Automatic,525,Yes,Petrol,,440,6,5,,Infotainment touchscreen lag; Coolant leak; Turbocharger lag; Starter motor issues; Head gasket issue,Mazda CX-30; Chevrolet Corvette; BMW i4,13731840.00
Honda Odyssey 2013,Honda,Odyssey,2013,Crossover,3.0L V6,8-Speed Automatic,612,Yes,Diesel,11.9,798,2,7,70,Power steering leak; AC compressor failure; Battery degradation; Transmission jerking; Hybrid battery cell imbalance,Land Rover Range Rover Sport; Audi A6; Mitsubishi Mirage,3076920.00
Audi Q3 2013,Audi,Q3,2013,Convertible,Electric Dual Motor,Manual,642,No,Petrol,,369,8,4,,Airbag sensor warning; Coolant leak; AC compressor failure; Hybrid battery cell imbalance; Exhaust manifold crack,Land Rover Discovery; Chevrolet Camaro; Volvo C40,1831320.00
Mercedes-Benz C-Class 2008,Mercedes-Benz,C-Class,2008,Pickup,4.0L V8,CVT,632,No,Diesel,11.8,631,6,2,75,AC compressor failure; Coolant leak; Oil leak from valve cover; Battery degradation; Timing chain stretch,Honda Civic; Ford Mustang; Toyota Supra,2219400.00
Audi A8 2019,Audi,A8,2019,SUV,1.6L I4,Automatic,642,No,Petrol,10.2,462,6,4,90,Airbag sensor warning; Alternator failure; Suspension noise; Transmission jerking; Exhaust manifold crack,Toyota Yaris; Kia Sorento; Mazda 6,8012520.00
Mazda 6 2020,Mazda,6,2020,SUV,Electric Motor (single),6-Speed Automatic,390,No,Diesel,,476,10,7,,Power steering leak; Window regulator failure; DPF clogging (diesel); Fuel injector clogging; Infotainment touchscreen lag,Audi e-tron; Honda Pilot; Hyundai Sonata,6383880.00
Jeep Grand Cherokee 2024,Jeep,Grand Cherokee,2024,Convertible,Electric Motor (single),8-Speed Automatic,314,No,Petrol,,386,8,4,,Battery degradation; Fuel injector clogging; Infotainment touchscreen lag; Exhaust manifold crack; Head gasket issue,Toyota RAV4; Jaguar XF; BMW 5 Series,7039080.00
Honda HR-V 2023,Honda,HR-V,2023,Sports,5.0L V8,Dual-Clutch (DCT),788,No,Petrol,15.1,658,2,2,60,Timing chain stretch; Hybrid battery cell imbalance; Airbag sensor warning; Transmission jerking; Battery degradation,Jaguar E-Pace; Subaru Impreza; Land Rover Velar,7177680.00
Mitsubishi Pajero 2011,Mitsubishi,Pajero,2011,MPV,Electric Motor (single),CVT,418,No,Electric,,523,2,8,,Coolant leak; Suspension noise; Brake pad wear prematurely; Airbag sensor warning; Power steering leak,Jaguar F-Pace; Hyundai Tucson; Nissan Leaf,1251360.00
BMW X3 2007,BMW,X3,2007,MPV,3.5L V6,Automatic,407,No,Petrol,8.5,255,10,5,50,Power steering leak; Alternator failure; AC compressor failure; Transmission jerking; Airbag sensor warning,Volvo S60; Tesla Model Y; BMW 3 Series,1560600.00
Ford Ranger 2015,Ford,Ranger,2015,Convertible,1.5L I4,Manual,651,Yes,Petrol,8.5,352,10,5,45,Timing chain stretch; Alternator failure; Coolant leak; DPF clogging (diesel); Airbag sensor warning,Jaguar XJ; Mazda CX-3; Volvo XC40,3339000.00
Jeep Cherokee 2018,Jeep,Cherokee,2018,Sedan,5.0L V8,CVT,712,No,Petrol,15.6,416,6,8,45,Suspension noise; Timing chain stretch; Airbag sensor warning; Turbocharger lag; Coolant leak,Jeep Compass; Volvo XC40; Mitsubishi Outlander,1595520.00
Hyundai Elantra 2007,Hyundai,Elantra,2007,MPV,2.5L I4,6-Speed Automatic,759,No,Petrol,10.3,470,10,8,55,DPF clogging (diesel); Alternator failure; Coolant leak; Timing chain stretch; Starter motor issues,Chevrolet Equinox; Honda Accord; Ford EcoSport,546120.00
Mercedes-Benz A-Class 2009,Mercedes-Benz,A-Class,2009,Hatchback,2.5L I4,Dual-Clutch (DCT),639,No,Petrol,17.4,712,10,6,75,Turbocharger lag; Oil leak from valve cover; DPF clogging (diesel); Infotainment touchscreen lag; Fuel injector clogging,Honda Odyssey; Audi Q3; Toyota Land Cruiser,558720.00
Volkswagen Touareg 2001,Volkswagen,Touareg,2001,Sports,1.8L I4,Dual-Clutch (DCT),733,No,Petrol,18,646,8,2,75,Battery degradation; DPF clogging (diesel); Infotainment touchscreen lag; Coolant leak; Alternator failure,Tesla Model S; Jeep Renegade; Porsche Cayman,360000.00
Hyundai Palisade 2012,Hyundai,Palisade,2012,Hatchback,1.2L I4,Dual-Clutch (DCT),561,No,Petrol,15.7,726,2,8,80,Window regulator failure; DPF clogging (diesel); Oil leak from valve cover; Brake pad wear prematurely; Battery degradation,Porsche Panamera; Volvo S90; Ford Ranger,2203920.00
BMW X3 2017,BMW,X3,2017,Crossover,1.6L I4,CVT,850,No,Petrol,17.7,445,4,5,80,AC compressor failure; Coolant leak; DPF clogging (diesel); Turbocharger lag; Timing chain stretch,Nissan Juke; Volvo C40; Nissan GT-R,6175440.00
Chevrolet Equinox 2022,Chevrolet,Equinox,2022,MPV,2.5L I4,8-Speed Automatic,612,No,Electric,10.4,764,4,6,55,Airbag sensor warning; Head gasket issue; Starter motor issues; Turbocharger lag; Fuel injector clogging,Land Rover Range Rover; Tesla Model Y; Porsche Cayenne,8467200.00
Volkswagen ID.4 2000,Volkswagen,ID.4,2000,MPV,2.5L I4,6-Speed Automatic,828,No,Electric,12.9,352,8,7,75,Battery degradation; Infotainment touchscreen lag; Coolant leak; Hybrid battery cell imbalance; Window regulator failure,BMW 5 Series; Audi Q7; Mazda CX-30,383400.00
Chevrolet Equinox 2020,Chevrolet,Equinox,2020,Crossover,1.6L I4,Manual,800,No,Petrol,14.9,282,6,8,80,Hybrid battery cell imbalance; Infotainment touchscreen lag; Power steering leak; Oil leak from valve cover; Turbocharger lag,Hyundai Kona; Audi Q3; Honda Odyssey,3965400.00
Mazda 2 2024,Mazda,2,2024,SUV,1.5L I4,Dual-Clutch (DCT),755,No,Petrol,11.2,257,6,5,65,DPF clogging (diesel); Starter motor issues; Timing chain stretch; Head gasket issue; Airbag sensor warning,Mercedes-Benz A-Class; Mercedes-Benz GLE; Mercedes-Benz GLS,9746280.00
Honda Odyssey 2019,Honda,Odyssey,2019,SUV,2.2L I4 Turbo,Dual-Clutch (DCT),518,No,Petrol,10.6,209,8,5,80,Suspension noise; Turbocharger lag; Window regulator failure; Battery degradation; Transmission jerking,Land Rover Velar; Volkswagen Passat; Volvo XC60,5067720.00
Hyundai Sonata 2012,Hyundai,Sonata,2012,Pickup,Electric Dual Motor,Manual,592,No,Petrol,,502,2,8,,Hybrid battery cell imbalance; Fuel injector clogging; AC compressor failure; Oil leak from valve cover; Power steering leak,Hyundai Kona; Audi A8; Subaru Forester,2823840.00
Audi A8 2008,Audi,A8,2008,Hatchback,1.6L I4,6-Speed Automatic,862,No,Petrol,15.9,234,10,5,50,Turbocharger lag; Transmission jerking; Infotainment touchscreen lag; DPF clogging (diesel); Suspension noise,Chevrolet Silverado; Subaru BRZ; Jaguar E-Pace,894240.00
Volkswagen Touareg 2012,Volkswagen,Touareg,2012,Pickup,3.5L V6,Manual,641,Yes,Diesel,13.6,426,2,8,75,Transmission jerking; DPF clogging (diesel); Alternator failure; Starter motor issues; Oil leak from valve cover,Kia Cerato; Porsche Cayman; Nissan Juke,360000.00
Nissan Rogue 2017,Nissan,Rogue,2017,Crossover,1.6L I4,Dual-Clutch (DCT),589,No,Petrol,17.5,629,10,8,50,DPF clogging (diesel); Alternator failure; Power steering leak; Airbag sensor warning; Fuel injector clogging,Mazda 2; Audi A4; Volvo S90,1828800.00
Jeep Grand Cherokee 2011,Jeep,Grand Cherokee,2011,Coupe,1.5L I4,6-Speed Automatic,678,No,Petrol,8.6,482,4,2,75,Turbocharger lag; Brake pad wear prematurely; AC compressor failure; Oil leak from valve cover; Infotainment touchscreen lag,Nissan Navara; BMW X5; Honda Civic,738000.00
Mitsubishi Outlander 2018,Mitsubishi,Outlander,2018,Coupe,2.0L I4,Automatic,796,No,Diesel,8,348,4,7,60,Suspension noise; Alternator failure; AC compressor failure; Starter motor issues; Coolant leak,Audi Q5; Kia Stinger; Toyota Hilux,3221280.00
Mercedes-Benz S-Class 2001,Mercedes-Benz,S-Class,2001,Convertible,1.6L I4,6-Speed Automatic,669,No,Petrol,12.5,570,10,7,45,Window regulator failure; Head gasket issue; Timing chain stretch; Oil leak from valve cover; Transmission jerking,Toyota Supra; Ford EcoSport; Mitsubishi Eclipse Cross,958320.00
Subaru Outback 2021,Subaru,Outback,2021,Crossover,1.5L I4,Dual-Clutch (DCT),437,No,Petrol,9.5,329,6,7,90,Coolant leak; Infotainment touchscreen lag; Hybrid battery cell imbalance; Head gasket issue; Transmission jerking,Porsche Cayenne; Land Rover Defender; Nissan Leaf,5315760.00
Nissan Rogue 2013,Nissan,Rogue,2013,Convertible,Electric Motor (single),Automatic,532,No,Diesel,,297,6,6,,Infotainment touchscreen lag; Fuel injector clogging; Battery degradation; Starter motor issues; Power steering leak,Honda Odyssey; Honda Fit; Land Rover Defender,757800.00
Nissan GT-R 2025,Nissan,GT-R,2025,Sedan,1.6L I4,8-Speed Automatic,700,No,Petrol,14.7,620,6,8,70,Oil leak from valve cover; Transmission jerking; Exhaust manifold crack; Battery degradation; Alternator failure,Porsche Cayenne; Audi A3; Mercedes-Benz C-Class,9984240.00
Land Rover Range Rover Sport 2003,Land Rover,Range Rover Sport,2003,Coupe,3.5L V6,8-Speed Automatic,458,No,Petrol,16.1,774,10,7,80,AC compressor failure; Fuel injector clogging; Airbag sensor warning; Suspension noise; Exhaust manifold crack,Kia Sportage; Tesla Model 3; Subaru Impreza,1805760.00
Toyota RAV4 2004,Toyota,RAV4,2004,SUV,4.0L V8,Manual,779,No,Petrol,15.5,420,8,6,75,Infotainment touchscreen lag; Suspension noise; Battery degradation; Transmission jerking; Airbag sensor warning,Honda Pilot; Ford Focus; Mercedes-Benz C-Class,1911600.00
Mercedes-Benz A-Class 2019,Mercedes-Benz,A-Class,2019,Hatchback,1.2L I4,6-Speed Automatic,539,No,Petrol,14.1,624,6,4,80,Alternator failure; Battery degradation; DPF clogging (diesel); Airbag sensor warning; Transmission jerking,Mitsubishi Mirage; Jaguar F-Pace; Kia Sportage,7389360.00
Ford Escape 2012,Ford,Escape,2012,Pickup,1.2L I4,Manual,554,No,Diesel,15.6,496,6,2,40,Power steering leak; DPF clogging (diesel); Suspension noise; Starter motor issues; Hybrid battery cell imbalance,Audi Q3; Porsche Macan; Subaru Forester,1938240.00
Honda Odyssey 2023,Honda,Odyssey,2023,Sedan,1.2L I4,Dual-Clutch (DCT),635,No,Diesel,13.8,787,8,8,70,Transmission jerking; Alternator failure; Hybrid battery cell imbalance; AC compressor failure; Infotainment touchscreen lag,Volvo XC90; Subaru Legacy; Honda Pilot,6288840.00
Mazda MX-5 2003,Mazda,MX-5,2003,Convertible,2.2L I4 Turbo,Dual-Clutch (DCT),668,Yes,Diesel,15.5,426,6,4,45,Head gasket issue; Alternator failure; Airbag sensor warning; Coolant leak; Brake pad wear prematurely,Subaru Impreza; Chevrolet Traverse; Audi Q5,1820880.00
Nissan Maxima 2008,Nissan,Maxima,2008,SUV,2.0L I4,Automatic,789,No,Petrol,17.5,705,8,7,90,Window regulator failure; Exhaust manifold crack; Infotainment touchscreen lag; Coolant leak; Starter motor issues,Honda Civic; Mitsubishi Outlander; Volvo S90,1229760.00
Mazda MX-5 2010,Mazda,MX-5,2010,Coupe,1.2L I4,6-Speed Automatic,433,No,Petrol,11.9,458,10,4,65,Turbocharger lag; Exhaust manifold crack; Starter motor issues; Battery degradation; Transmission jerking,Mazda CX-5; Chevrolet Silverado; Honda Fit,2000520.00
Volvo C40 2017,Volvo,C40,2017,Coupe,1.2L I4,6-Speed Automatic,848,No,Petrol,11.8,366,4,8,90,Suspension noise; Window regulator failure; Oil leak from valve cover; DPF clogging (diesel); Battery degradation,Audi Q5; Volvo S60; Hyundai Tucson,5688720.00
Jeep Grand Cherokee 2017,Jeep,Grand Cherokee,2017,Crossover,2.2L I4 Turbo,CVT,862,No,Petrol,17.5,651,8,5,70,Head gasket issue; Airbag sensor warning; DPF clogging (diesel); Suspension noise; Brake pad wear prematurely,Chevrolet Malibu; Volkswagen Polo; Ford Ranger,3604320.00
Land Rover Velar 2017,Land Rover,Velar,2017,Sports,1.5L I4,6-Speed Automatic,835,No,Petrol,9.6,660,10,4,70,Turbocharger lag; Timing chain stretch; Window regulator failure; Battery degradation; AC compressor failure,Ford Ranger; Mazda MX-5; Porsche Macan,4917600.00
Toyota Land Cruiser 2007,Toyota,Land Cruiser,2007,SUV,5.0L V8,Automatic,668,No,Petrol,13.3,719,10,7,40,Hybrid battery cell imbalance; Power steering leak; Oil leak from valve cover; Airbag sensor warning; Battery degradation,Toyota Hilux; Subaru Outback; Honda Accord,582840.00
Tesla Model 3 2023,Tesla,Model 3,2023,Coupe,1.5L I4,8-Speed Automatic,468,Yes,Petrol,16.1,379,8,8,75,Suspension noise; Starter motor issues; Turbocharger lag; Window regulator failure; Oil leak from valve cover,BMW X3; Ford Explorer; Ford Mustang,15750720.00
Kia Seltos 2016,Kia,Seltos,2016,Crossover,4.0L V8,8-Speed Automatic,529,Yes,Petrol,10.9,248,6,5,45,Battery degradation; DPF clogging (diesel); Hybrid battery cell imbalance; Window regulator failure; Coolant leak,BMW 3 Series; Porsche Panamera; Mazda 2,2364120.00
Volvo V60 2025,Volvo,V60,2025,Convertible,1.4L I4,6-Speed Automatic,440,No,Electric,9.8,500,6,2,45,Infotainment touchscreen lag; Transmission jerking; Exhaust manifold crack; Window regulator failure; DPF clogging (diesel),Volvo S60; Subaru Impreza; Volvo S90,20021400.00
Ford Focus 2019,Ford,Focus,2019,Sedan,5.0L V8,CVT,438,No,Petrol,13.1,363,2,4,90,Window regulator failure; Oil leak from valve cover; Starter motor issues; Turbocharger lag; Timing chain stretch,Subaru BRZ; Subaru Legacy; Mazda CX-30,4969800.00
Porsche 911 2019,Porsche,911,2019,Crossover,1.6L I4,6-Speed Automatic,885,No,Petrol,8.8,340,10,5,70,Infotainment touchscreen lag; Fuel injector clogging; Timing chain stretch; Alternator failure; AC compressor failure,BMW 3 Series; Porsche Panamera; Jaguar XF,7558920.00
Mitsubishi ASX 2009,Mitsubishi,ASX,2009,SUV,2.5L I4,Automatic,806,No,Petrol,17.9,342,4,6,40,Battery degradation; Coolant leak; Airbag sensor warning; Window regulator failure; Starter motor issues,Honda Pilot; Ford Edge; Kia Sportage,1852920.00
Subaru BRZ 2023,Subaru,BRZ,2023,Convertible,Electric Dual Motor,8-Speed Automatic,509,No,Electric,,328,6,8,,Turbocharger lag; Window regulator failure; Exhaust manifold crack; Head gasket issue; Battery degradation,Mercedes-Benz A-Class; Chevrolet Silverado; Land Rover Defender,7786440.00
Audi Q7 2009,Audi,Q7,2009,Sedan,Electric Motor (single),Manual,525,No,Petrol,,408,6,7,,Starter motor issues; Infotainment touchscreen lag; Exhaust manifold crack; Battery degradation; Hybrid battery cell imbalance,Mazda 2; Jaguar XE; Nissan Maxima,868320.00
Kia Sorento 2014,Kia,Sorento,2014,Crossover,1.5L I4,CVT,526,No,Petrol,17.5,628,4,4,65,Exhaust manifold crack; Infotainment touchscreen lag; Brake pad wear prematurely; Suspension noise; Power steering leak,Mitsubishi Lancer; Porsche Panamera; Kia Cerato,2303640.00
BMW X7 2016,BMW,X7,2016,Sedan,1.2L I4,Manual,470,No,Diesel,13.2,352,10,7,50,Infotainment touchscreen lag; Airbag sensor warning; Suspension noise; Hybrid battery cell imbalance; Transmission jerking,Tesla Model X; Porsche Cayenne; Porsche Taycan,4782600.00
Mitsubishi Eclipse Cross 2022,Mitsubishi,Eclipse Cross,2022,Sedan,2.5L I4,Dual-Clutch (DCT),588,No,Petrol,12.2,515,2,7,75,Fuel injector clogging; Exhaust manifold crack; Timing chain stretch; Oil leak from valve cover; Power steering leak,Jaguar F-Pace; Mazda 6; Chevrolet Traverse,5309640.00
Audi A3 2018,Audi,A3,2018,Sedan,1.5L I4,Automatic,625,No,Petrol,14.9,620,10,7,75,Oil leak from valve cover; Starter motor issues; Head gasket issue; Brake pad wear prematurely; Infotainment touchscreen lag,Mitsubishi Eclipse Cross; Jaguar F-Pace; Mazda 6,6425640.00
